ts,k,cell,gen_tokens,tok_s,acc_pct,tau,ms_step,pos_acc_pct_profile
2026-08-06T17:47Z,4,math-nothink-1024+abours4,636,152.2,82.4,3.30,28.2,96/89/77/68
2026-08-06T17:47Z,4,code-nothink-1024+abours4,1024,125.3,63.7,2.55,28.3,85/70/55/45
2026-08-06T17:47Z,4,code-think-2048+abours4,2048,109.3,53.2,2.13,28.7,79/58/43/33
2026-08-06T17:50Z,10,math-think-2048+abours10,2048,160.6,52.7,5.27,39.0,91/82/73/67/59/47/35/29/24/20
2026-08-06T17:50Z,10,math-nothink-1024+abours10,636,168.5,55.0,5.50,38.5,95/85/77/65/54/45/42/36/29/23
2026-08-06T17:50Z,10,code-nothink-1024+abours10,1024,118.7,34.9,3.49,37.7,86/68/50/38/29/23/18/14/13/10
2026-08-06T17:50Z,10,code-think-2048+abours10,2048,101.2,27.7,2.77,37.3,76/56/41/31/23/16/12/9/7/6
2026-08-06T17:50Z,10,struct-json-1024+abours10,1024,216.8,71.3,7.13,37.5,97/90/77/74/69/67/65/60/58/56
2026-08-06T17:51Z,10,struct-csv-1024+abours10,1024,152.8,47.0,4.70,37.0,91/71/56/50/47/41/33/30/28/24
2026-08-06T17:54Z,4,prose-think-1024+abawq4,1024,82.7,42.9,1.72,32.8,74/48/30/20
2026-08-06T17:54Z,4,prose-nothink-1024+abawq4,1024,76.6,37.3,1.49,32.5,73/44/21/11
2026-08-06T17:54Z,4,math-think-2048+abawq4,2048,122.4,73.5,2.94,32.2,89/79/69/57
2026-08-06T17:54Z,4,math-nothink-1024+abawq4,708,134.0,80.4,3.21,31.4,96/86/76/64
2026-08-06T17:55Z,4,code-nothink-1024+abawq4,1024,129.3,77.2,3.09,31.6,96/84/71/57
2026-08-06T17:55Z,4,code-think-2048+abawq4,2048,120.7,71.6,2.86,32.0,92/78/64/53
2026-08-06T17:55Z,4,struct-json-1024+abawq4,1024,148.7,93.1,3.72,31.7,99/95/92/87
2026-08-06T17:55Z,4,struct-csv-1024+abawq4,1024,113.6,64.4,2.58,31.5,88/72/55/43
2026-08-06T17:58Z,10,math-think-2048+abawq10,2048,113.1,43.6,4.36,47.4,86/74/63/51/41/34/28/24/19/16
2026-08-06T17:58Z,10,math-nothink-1024+abawq10,708,136.9,50.8,5.08,44.2,95/84/74/60/50/40/34/28/24/20
2026-08-06T17:59Z,10,code-nothink-1024+abawq10,1024,127.9,46.4,4.64,44.0,92/82/68/54/42/35/29/24/20/18
2026-08-06T17:59Z,10,code-think-2048+abawq10,2048,113.1,39.6,3.96,43.9,89/74/62/50/38/28/22/15/11/8
2026-08-06T17:59Z,10,struct-json-1024+abawq10,1024,200.2,77.8,7.78,43.7,99/94/85/81/78/75/73/69/63/60
2026-08-06T17:59Z,10,struct-csv-1024+abawq10,1024,101.3,32.6,3.26,42.1,86/68/51/41/28/20/15/9/5/4
2026-08-07T04:15Z,15,struct-json-1024+dflash,1024,92.5,53.3,8.00,97.1,89/75/68/64/63/61/54/49/48/46/46/39/38/32/26
2026-08-07T04:15Z,15,struct-csv-1024+dflash,1024,61.6,29.2,4.38,87.5,84/67/49/43/34/28/24/22/21/18/17/14/9/5/4
2026-08-07T04:16Z,15,math-think-2048+dflash,2048,69.9,34.1,5.12,87.0,87/74/64/53/45/37/31/25/20/18/17/14/11/9/7
2026-08-07T04:16Z,15,math-nothink-1024+dflash,636,75.4,37.0,5.56,86.9,89/73/63/53/43/38/35/32/31/29/25/18/14/7/6
2026-08-07T04:16Z,15,code-nothink-1024+dflash,1024,48.4,21.3,3.19,86.7,80/61/47/35/26/19/15/10/7/6/5/3/2/2/1
2026-08-07T04:17Z,15,code-think-2048+dflash,2048,40.4,16.9,2.53,87.4,76/52/36/26/19/15/9/7/5/3/2/1/1/1/1
2026-08-07T04:22Z,23,struct-json-1024+dflash,1024,81.9,34.2,7.85,106.9,90/79/68/66/63/60/54/50/48/46/40/33/29/21/17/9/6/5/3/0/0/0/0
2026-08-07T04:22Z,23,struct-csv-1024+dflash,1024,46.3,14.9,3.43,95.0,85/70/50/41/30/19/12/9/8/6/5/3/2/1/1/0/0/0/0/0/0/0/0
2026-08-07T04:23Z,23,math-think-2048+dflash,2048,60.1,20.8,4.79,95.8,87/76/63/52/43/35/27/22/18/14/12/8/6/5/3/2/2/1/1/0/0/0/0
2026-08-07T04:23Z,23,math-nothink-1024+dflash,636,61.3,21.3,4.90,96.1,91/76/61/47/39/32/29/24/23/18/14/13/10/6/3/2/1/1/0/0/0/0/0
2026-08-07T04:23Z,23,code-nothink-1024+dflash,1024,41.4,12.8,2.93,95.2,79/62/44/32/23/15/12/7/5/3/2/2/2/1/1/1/1/0/0/0/0/0/0
2026-08-07T04:24Z,23,code-think-2048+dflash,2048,34.6,10.0,2.30,95.4,75/50/36/25/15/11/7/5/3/1/1/0/0/0/0/0/0/0/0/0/0/0/0
2026-08-07T04:33Z,23,struct-json-1024+dflashcap,1024,16.8,1.6,0.37,82.0,19/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1
2026-08-07T04:33Z,23,struct-csv-1024+dflashcap,1024,187.9,64.6,14.86,83.8,95/92/91/88/88/86/86/85/85/85/85/85/85/85/85/51/51/42/40/0/0/0/0
2026-08-10T00:33Z,15,struct-json-1024+ngramgpu,1024,26.9,5.4,0.80,67.0,26/18/11/11/6/3/3/1/1/0/0/0/0/0/0
2026-08-10T00:33Z,15,struct-csv-1024+ngramgpu,1024,103.7,37.3,5.60,62.9,41/40/38/38/37/37/37/37/36/36/36/36/36/36/36
2026-08-10T00:46Z,15,struct-json-1024+ngramgpu4k,1024,30.8,5.3,0.79,58.2,25/18/11/11/6/3/3/1/1/0/0/0/0/0/0
2026-08-10T00:46Z,15,struct-csv-1024+ngramgpu4k,1024,116.2,37.3,5.60,56.1,41/40/38/38/37/37/37/37/36/36/36/36/36/36/36
2026-08-10T00:51Z,15,struct-json-1024+ngramcpu4k,1024,27.4,11.2,1.65,135.2,52/37/23/22/13/6/6/2/2/1/0/0/0/0/0
2026-08-10T00:51Z,15,struct-csv-1024+ngramcpu4k,1024,105.4,75.1,10.59,117.0,78/76/72/72/70/70/70/70/69/69/69/69/69/69/69
2026-08-10T01:03Z,15,struct-json-1024+ngramgpunopad,1024,27.6,5.4,0.80,65.5,26/18/11/11/6/3/3/1/1/0/0/0/0/0/0
2026-08-10T01:03Z,15,struct-csv-1024+ngramgpunopad,1024,100.9,37.3,5.60,64.6,41/40/38/38/37/37/37/37/36/36/36/36/36/36/36
2026-08-10T01:59Z,0,extract-nothink-512+plainref,512,87.4,0.0,0.00,0.0,
2026-08-10T02:01Z,15,extract-nothink-512+warm,512,239.7,97.4,14.61,64.7,100/100/97/97/97/97/97/97/97/97/97/97/97/97/97
2026-08-10T02:01Z,15,extract-nothink-512,512,303.9,97.4,14.61,51.1,100/100/97/97/97/97/97/97/97/97/97/97/97/97/97
2026-08-10T02:04Z,10,extract-nothink-512+warm,512,226.1,100.0,10.00,48.2,100/100/100/100/100/100/100/100/100/100
2026-08-10T02:04Z,10,extract-nothink-512,512,254.9,100.0,10.00,42.7,100/100/100/100/100/100/100/100/100/100
2026-08-10T06:33Z,0,extract-nothink-512+plainq,512,88.0,0.0,0.00,0.0,
2026-08-10T07:13Z,7,math-think-2048+qpnwarm,2048,125.5,65.2,4.56,22.4,92/82/74/66/59/46/38
2026-08-10T07:13Z,7,math-nothink-1024+qpnwarm,636,136.8,65.5,4.59,20.2,97/86/79/66/51/42/39
2026-08-10T07:13Z,7,code-nothink-1024+qpnwarm,1024,124.4,46.7,3.27,17.1,87/70/52/41/31/26/21
2026-08-10T07:13Z,7,code-think-2048+qpnwarm,2048,107.0,37.4,2.62,16.9,78/56/43/32/23/18/13
2026-08-10T07:13Z,10,math-think-2048+qpnwarm,2048,125.5,65.4,4.58,22.1,92/82/74/66/59/47/38
2026-08-10T07:13Z,10,math-nothink-1024+qpnwarm,636,154.4,64.3,4.50,17.8,97/85/78/65/50/40/37
2026-08-10T07:13Z,10,code-nothink-1024+qpnwarm,1024,123.7,46.8,3.27,17.1,87/70/52/41/31/26/21
2026-08-10T07:13Z,10,code-think-2048+qpnwarm,2048,104.6,37.4,2.62,17.3,78/56/43/32/23/18/12
2026-08-10T07:13Z,7,math-think-2048+qpn,2048,157.1,64.9,4.54,17.8,92/82/73/66/58/46/37
2026-08-10T07:13Z,7,math-nothink-1024+qpn,636,154.6,65.2,4.57,17.9,97/86/79/66/51/41/38
2026-08-10T07:14Z,7,code-nothink-1024+qpn,1024,124.5,47.1,3.30,17.1,87/70/52/41/32/26/21
2026-08-10T07:14Z,7,code-think-2048+qpn,2048,107.2,37.3,2.61,16.9,78/56/43/31/23/18/12
2026-08-10T07:13Z,10,math-think-2048+qpn,2048,161.4,65.2,4.56,17.2,92/82/74/66/59/46/38
2026-08-10T07:13Z,10,math-nothink-1024+qpn,636,154.3,64.0,4.48,17.8,97/85/77/64/50/40/37
2026-08-10T07:14Z,10,code-nothink-1024+qpn,1024,123.8,46.5,3.26,17.1,86/69/51/41/31/26/21
2026-08-10T07:14Z,10,code-think-2048+qpn,2048,106.8,37.6,2.63,17.0,78/57/44/32/23/18/12
2026-08-10T07:14Z,10,extract-nothink-512+qpn,512,209.0,89.0,6.23,18.4,99/96/89/87/85/83/83
2026-08-10T07:14Z,7,struct-json-1024+qpn,1024,178.5,80.8,5.66,19.3,97/94/86/80/74/70/65
2026-08-10T07:14Z,7,struct-csv-1024+qpn,1024,150.0,62.0,4.34,17.2,92/80/70/63/53/41/35
2026-08-10T07:14Z,7,extract-nothink-512+qpn,512,205.3,82.1,5.75,18.6,95/90/85/83/79/73/69
2026-08-10T07:19Z,7,math-think-2048+qpnwarm,1403,173.3,62.7,4.39,31.1,93/84/71/61/52/43/34
2026-08-10T07:19Z,7,math-nothink-1024+qpnwarm,636,184.2,64.4,4.51,29.8,97/84/78/65/50/41/37
2026-08-10T07:19Z,7,code-nothink-1024+qpnwarm,1024,144.4,46.1,3.23,29.3,87/69/51/40/30/25/20
2026-08-10T07:19Z,7,code-think-2048+qpnwarm,2048,117.8,35.4,2.48,29.5,79/56/40/29/20/15/11
2026-08-10T07:20Z,7,math-think-2048+qpn,1403,182.1,62.7,4.39,29.6,93/84/71/61/52/43/34
2026-08-10T07:20Z,7,math-nothink-1024+qpn,636,186.7,64.4,4.51,29.4,97/84/78/65/50/41/37
2026-08-10T07:20Z,7,code-nothink-1024+qpn,1024,145.0,46.1,3.23,29.2,87/69/51/40/30/25/20
2026-08-10T07:20Z,7,code-think-2048+qpn,2048,118.0,35.4,2.48,29.4,79/56/40/29/20/15/11
2026-08-10T07:20Z,7,struct-json-1024+qpn,1024,223.7,80.5,5.63,29.5,98/94/83/79/74/70/66
2026-08-10T07:20Z,7,struct-csv-1024+qpn,1024,178.5,60.1,4.21,29.1,92/80/69/60/48/38/34
2026-08-10T07:20Z,7,extract-nothink-512+qpn,512,236.6,98.9,6.92,33.3,100/100/98/98/98/98/98
2026-08-10T07:30Z,7,math-think-2048+qpnD,1403,185.4,-,4.39,29.1,
2026-08-10T07:30Z,7,code-nothink-1024+qpnD,1024,147.8,-,3.23,28.6,
2026-08-10T07:30Z,7,struct-json-1024+qpnD,1024,231.0,-,5.63,28.6,
2026-08-10T07:30Z,7,struct-csv-1024+qpnD,1024,182.6,-,4.21,28.5,
2026-08-10T07:30Z,7,extract-nothink-512+qpnD,512,261.0,-,6.92,30.2,
2026-08-10T07:30Z,7,math-think-2048+qpnD,1403,185.6,-,4.39,29.1,
2026-08-10T07:30Z,7,code-nothink-1024+qpnD,1024,147.8,-,3.23,28.6,
2026-08-10T07:30Z,7,struct-json-1024+qpnD,1024,231.1,-,5.63,28.6,
2026-08-10T07:31Z,7,struct-csv-1024+qpnD,1024,182.7,-,4.21,28.4,
2026-08-10T07:31Z,7,extract-nothink-512+qpnD,512,261.3,-,6.92,30.1,
2026-08-10T07:57Z,15,math-think-2048+qpnwarm,2048,139.9,38.4,5.76,48.2,90/82/73/66/58/46/36/28/23/19/17/12/11/8/7
2026-08-10T07:57Z,15,math-nothink-1024+qpnwarm,636,175.2,40.7,6.10,40.3,96/84/76/64/53/43/39/34/29/23/20/18/12/10/8
2026-08-10T07:57Z,15,code-nothink-1024+qpnwarm,1024,116.2,23.8,3.57,39.3,85/66/46/34/26/21/17/14/12/9/8/7/5/4/3
2026-08-10T07:57Z,15,code-think-2048+qpnwarm,2048,98.6,19.2,2.88,39.3,77/56/41/30/22/16/11/9/7/5/5/3/2/2/1
2026-08-10T07:57Z,15,math-think-2048+qpn,2048,170.4,38.4,5.76,39.5,90/82/73/66/58/46/36/28/23/19/17/12/11/8/7
2026-08-10T07:57Z,15,math-nothink-1024+qpn,636,174.8,40.7,6.10,40.4,96/84/76/64/53/43/39/34/29/23/20/18/12/10/8
2026-08-10T07:58Z,15,code-nothink-1024+qpn,1024,116.3,23.8,3.57,39.3,85/66/46/34/26/21/17/14/12/9/8/7/5/4/3
2026-08-10T07:58Z,15,code-think-2048+qpn,2048,97.9,19.2,2.88,39.6,77/56/41/30/22/16/11/9/7/5/5/3/2/2/1
2026-08-10T07:58Z,15,struct-json-1024+qpn,1024,227.0,57.4,8.61,42.2,94/89/75/71/65/64/63/57/55/47/45/42/38/31/25
2026-08-10T07:58Z,15,struct-csv-1024+qpn,1024,158.9,36.6,5.49,40.8,89/74/60/53/49/39/34/31/29/28/26/19/10/5/3
2026-08-10T07:58Z,15,extract-nothink-512+qpn,512,329.7,97.4,14.61,47.1,100/100/97/97/97/97/97/97/97/97/97/97/97/97/97
2026-08-10T07:58Z,15,math-think-2048+qpnD,2048,167.6,-,5.76,40.2,
2026-08-10T07:59Z,15,code-nothink-1024+qpnD,1024,114.8,-,3.57,39.8,
2026-08-10T07:59Z,15,struct-json-1024+qpnD,1024,239.7,-,8.61,39.9,
2026-08-10T07:59Z,15,struct-csv-1024+qpnD,1024,161.8,-,5.49,40.1,
2026-08-10T07:59Z,15,extract-nothink-512+qpnD,512,378.2,-,14.61,41.0,
